user_input,intent
Show me the most expensive item purchased in fiscal year 2021.?,fiscal_year_expensive_item
List all items under classification code 12345.?,classification_items
Which department uses 'CalCard' the most?,acquisition_type_department_usage
Which supplier has the highest total orders?,supplier_top_orders
Which supplier has the highest total orders?,supplier_top_orders
Provide the spending details for the Education department.,department_spending_by_name
Which department orders the largest quantity of items?,quantity_top_department
List items purchased in bulk quantities.?,bulk_items
List the most frequently ordered items.?,frequent_items
Total money spent on supplier PQR for the last 6 months?,supplier_spending
What is the cheapest item purchased?,cheapest_item
How many items were ordered by the Transportation Department?,department_item_count
Which departments use CalCard the most?,calcard_top_departments
What orders were placed with Supplier X?,supplier_orders
What is the total spending for fiscal year 2023?,fiscal_year_spending
How many orders were placed in fiscal year 2022?,fiscal_year_orders
Tell me the spending by acquisition type.?,acquisition_spending
Tell me the spending by acquisition type.?,acquisition_spending
Tell me the spending by acquisition type.?,acquisition_spending
Howdy!,greeting
Which order had the biggest total price?,largest_order
What is the average unit price for IT items?,avg_unit_price_by_category
Which department uses 'CalCard' the most?,acquisition_type_department_usage
List all items under classification code 12345.?,classification_items
Good day,greeting
Hi there,greeting
Show me the items purchased from Supplier X.?,supplier_items
How many items were ordered by the Transportation Department?,department_item_count
What is the most frequent acquisition method for IT items?,acquisition_method_frequency
What are the most popular items in orders?,frequent_line_items
What is the highest spending quarter?,show_highest_spending_quarter
List all items under classification code 12345.?,classification_items
Which department uses 'CalCard' the most?,acquisition_type_department_usage
Which items are frequently purchased using CalCard?,calcard_frequent_items
What is the spending for the Finance department?,department_spending_by_name
Which department orders the largest quantity of items?,quantity_top_department
Show me the details for item 'Laptop'.?,item_details
Which supplier has the highest total orders?,supplier_top_orders
What is the average unit price for IT items?,avg_unit_price_by_category
What is the total spending with supplier S1234?,supplier_spending
List items purchased in bulk quantities.?,bulk_items
What is the total spending by acquisition type 'Contract'?,acquisition_type_spending
What is the highest spending quarter?,show_highest_spending_quarter
Show me the total spending by acquisition method 'Bidding'.?,acquisition_method_spending
What is the most frequent acquisition method for IT items?,acquisition_method_frequency
Which department spent the most in fiscal year 2020?,fiscal_year_top_department
List all items under classification code 12345.?,classification_items
Show me the details for item 'Laptop'.?,item_details
Which order has the highest total price?,highest_total_price_order
Which department spent the most in fiscal year 2020?,fiscal_year_top_department
Which supplier has the highest total orders?,supplier_top_orders
What is the most frequent acquisition method for IT items?,acquisition_method_frequency
What is the total price of all orders in Q2 2023?,total_price_by_quarter
List the acquisition methods used by Department of Education.?,acquisition_method_department
Show me the details of purchase order PO12345.?,purchase_order_details
Which supplier fulfilled purchase order PO98765?,purchase_order_supplier
Provide details of the largest order.,largest_order
Which department orders the largest quantity of items?,quantity_top_department
How many orders were made under 'Open Market' acquisition type?,acquisition_type_orders
What is the total spending for fiscal year 2023?,fiscal_year_spending
Which supplier has the highest total revenue?,supplier_top_revenue
Which supplier has the highest total revenue?,supplier_top_revenue
List items purchased in bulk quantities.?,bulk_items
List all items under classification code 12345.?,classification_items
How many items were ordered by the Transportation Department?,department_item_count
How many orders were placed in fiscal year 2022?,fiscal_year_orders
Show me the unit price for item 'Desktop'.?,unit_price_item
Tell me the spending by acquisition type.?,acquisition_spending
Which classification code has the highest total spending?,top_classification_code
Which items are frequently purchased using CalCard?,calcard_frequent_items
Show me the details for item 'Laptop'.?,item_details
Whatâ€™s the total quantity of items purchased?,total_quantity
What is the total value of purchase order PO67890?,purchase_order_value
Which department has the highest spending?,highest_spending_department
What is the total spending by acquisition type 'Contract'?,acquisition_type_spending
What is the total value of purchase order PO67890?,purchase_order_value
List the top suppliers for the 'Direct Purchase' acquisition type.?,acquisition_type_top_suppliers
